ID точки,Город,Область,Тип Пункта,Название пункта приема/выдачи,Адрес пункта приема/выдачи,Метро,"Макс. габариты 1 места, см","Макс. размер коробки, см","Макс. вес 1 места, кг",Способы оплаты,Время работы,График обслуживания,Услуга по приему возвратов,Широта,Долгота,Временное закрытие точки,x,y
5001-047,Московский,Московская обл.,Постамат,Постамат: PickPoint: 5001-047: ТЦ Радуга,"108811, Солнечная ул., д. 3",,61.8x36.8x36,L,15 кг,Карта,Ежедневно: 10-22,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.591535,37.366041,Нет,4159568.6570805833,7477527.857524844
7701-369,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-369: Пятерочка,"105264, Измайловский б., 43",,62.9x40.5x35.8,,15 кг,Карта,Ежедневно: 8-22,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.797201,37.798167,Нет,4207672.703359117,7518149.583959018
5001-178,Московский,Московская обл.,Постамат,Постамат: PickPoint: 5001-178: Торговый Центр,"108811, 1 мкр., д. 35",метро Саларьево,63.6x61.8x55.5,XXL,15 кг,Карта,Ежедневно: 8-20,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.601747,37.354905,Нет,4158329.003231109,7479539.828698953
7701-208,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-208: Пятерочка,"109369, Перерва ул., д. 32",метро Марьино,62.9x40.5x35.8,XXL,15 кг,Карта,Ежедневно: 9-23,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.652771,37.734174,Нет,4200549.035184783,7489600.445773326
5001-176,ВНИИССОК,Московская обл.,Постамат,Постамат: PickPoint: 5001-176: Магнит,"143072, Дружбы ул., д. 2",,40.5x35.8x62.9,XXL,15 кг,"Карта, Наличные",Ежедневно: 10-22:30,"Вт, Чт, Сб",Да,55.658548,37.198789,Нет,4140950.249606426,7490740.347195923
7701-413,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-413: ТЦ Ваш дом,"111141, Зеленый пр-кт, д. 3А, стр. 1",,62.9x40.5x35.8,,15 кг,Карта,Ежедневно: 10-20,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.74925,37.772597,Нет,4204826.263979533,7508659.507157385
5005-340,Мытищи,Московская обл.,Постамат,Постамат: Халва: 5005-340: Совкомбанк,"141008, Мира ул., д. 8",,44.5x42.7x36.7,,15 кг,Карта,Пн-Пт: 9-21; Сб: 9-17; Вс: Выходной,"Пн, Вт, Ср, Чт, Пт, Сб",Нет,55.912352,37.733621,Нет,4200487.475506374,7540987.167474636
7705-633,Москва,Московская обл.,Постамат,Постамат: Халва: Фикс-Прайс: Снежная,"129323, Снежная ул., д. 16, к. 6",метро Свиблово,45.7x42.7x32.1,L,15 кг,Карта,Ежедневно: 9-21,"Пн, Вт, Ср, Чт, Пт, Сб",Нет,55.851844,37.646363,Нет,4190773.9593787347,7528978.343937716
5002-059,Зеленоград,Московская обл.,ПВЗ,ПВЗ: PickPoint: 5002-059: ТЦ Семейный,"124575, Солнечная аллея, к. 900",,180,XXL,31.5 кг,Оплата только на сайте,Пн-Пт: 12:30-20:30; Сб-Вс: 10-18,"Вт, Чт, Сб",Нет,55.981413,37.184295,Нет,4139336.7849068684,7554716.3995401235
5001-179,Куровское,Московская обл.,Постамат,Постамат: PickPoint: 5001-179: Универсам,"142620, Почтовая ул., д. 6",,62.9x40.5x35.8,XXL,15 кг,Карта,Ежедневно: 9-18,"Пн, Ср, Пт",Да,55.578091,38.917039,Нет,4332224.964661969,7474879.91495172
5005-685,Растуново,Московская обл.,Постамат,Постамат: Халва: 5005-685: Магнит Косметик,"142062, Центральная ул., д. 20, стр. 1",,45.7x42.7x32.1,L,15 кг,Карта,Ежедневно: 9-21,"Вт, Чт, Сб",Нет,55.269836,37.833429,Нет,4211598.05124347,7414412.884090354
7701-746,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-746: Магнит,"127641, Санникова ул., д. 13",метро Отрадное,34.6x23.5x43.6,,15 кг,Карта,Ежедневно: 8-23,"Пн, Вт, Ср, Чт, Пт, Сб",Нет,55.861583,37.597636,Нет,4185349.694550851,7530909.947785836
5002-612,Лесной Городок,Московская обл.,ПВЗ,ПВЗ: PickPoint: 5002-612: ТЦ Орешек,"143080, Энергетиков ул., д. 1",,180,XXL,31.5 кг,"Карта, Наличные",Пн-Пт: 10-21; Сб-Вс: 10-20,"Вт, Чт, Сб",Да,55.637073,37.221343,Нет,4143460.9494017777,7486503.809693609
5005-687,Бронницы,Московская обл.,Постамат,Постамат: Халва: 5005-687: Магнит,"140170, Советская ул., д. 147",,45.7x42.7x32.1,L,30 кг,Карта,Ежедневно: 8-23,"Вт, Чт, Сб",Нет,55.416478,38.283183,Нет,4261664.437505707,7443119.199084792
7701-750,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-750: ТЦ Чертановская 30,"117525, Чертановская ул., д. 30, к. 5",метро Южная,34.6x23.5x43.6,,15 кг,Карта,Ежедневно: 8-23,"Пн, Вт, Ср, Чт, Пт, Сб",Нет,55.620272,37.588934,Нет,4184380.992341968,7483190.9667613
7701-366,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-366: ТРЦ Океания,"121352, Кутузовский пр-кт, д. 57",метро Славянский бульвар,40.5x35.8x64,,15 кг,Карта,Пн-Чт: 10-22; Пт-Сб: 10-23; Вс: 10-22,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.727927,37.476169,Нет,4171828.0499626645,7504443.176828804
5001-184,Жуковский,Московская обл.,Постамат,Постамат: PickPoint: 5001-184: ТЦ Навигатор,"140185, ул Амет-хан Султана, стр 37",,62.9x40.5x35.8,XXL,15 кг,Карта,Ежедневно: 8-23,"Пн, Ср, Пт",Да,55.581322,38.141739,Нет,4245918.963449944,7475516.212894942
7701-212,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-212: Дикси,"129343, Амундсена ул., д. 1, к. 1",метро Свиблово,62.9x40.5x35.8,XXL,15 кг,Карта,Ежедневно: 8-23,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.84969,37.658249,Нет,4192097.102846303,7528551.191455451
7701-751,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-751: Магнит,"127560, Лескова ул., д. 34",метро Бибирево,34.6x23.5x43.6,,15 кг,Карта,Ежедневно: 9-21,"Пн, Вт, Ср, Чт, Пт, Сб",Нет,55.891128,37.619369,Нет,4187769.0010442613,7536772.778270735
5001-185,Апрелевка,Московская обл.,Постамат,Постамат: PickPoint: 5001-185: ТЦ Мелодия,"143360, Августовская ул., д. 14",,62.9x40.5x35.8,XXL,15 кг,Карта,Ежедневно: 9-22,"Вт, Чт, Сб",Да,55.549563,37.068465,Нет,4126442.648288284,7469264.015697313
7701-215,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-215: Авоська,"117546, Медынская ул., д. 6Б",метро Пражская,62.9x40.5x35.8,XXL,15 кг,Карта,Ежедневно: 9-22,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.589839,37.644953,Нет,4190616.9988967166,7477193.7618162725
7702-320,Москва,Московская обл.,ПВЗ,ПВЗ: PickPoint: 7702-320: ТЦ Октябрьский,"123298, Маршала Малиновского ул., д. 8",метро Октябрьское поле,90,L,5 кг,"Карта, Наличные",Ежедневно: 9-21,"Пн, Вт, Ср, Чт, Пт, Сб",Нет,55.792645,37.493587,Нет,4173767.0128533016,7517247.394883188
7701-214,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-214: Центр услуг,"125466, Соколово-Мещерская ул., д. 14",метро Планерная,62.9x40.5x35.8,XXL,15 кг,Карта,Ежедневно: 8-22,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.896009,37.390038,Нет,4162239.990901149,7537741.780382477
5001-187,Нахабино,Московская обл.,Постамат,Постамат: PickPoint: 5001-187: ТЦ Арбуз,"143433, Школьная ул., д. 2",,62.9x40.5x35.8,XXL,15 кг,Карта,Ежедневно: 9-21,"Пн, Ср, Пт",Да,55.841807,37.145804,Нет,4135051.9863867443,7526988.142110719
5001-186,Одинцово (Одинцовский),Московская обл.,Постамат,Постамат: PickPoint: 5001-186: ТЦ Одинцовский Пассаж,"143007, Привокзальная пл., д. 1А",,62.9x40.5x35.8,XXL,15 кг,Карта,Ежедневно: 10-20,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.671307,37.277065,Нет,4149663.8940677606,7493258.5134470435
